time	i_D	u_D	u_L	i_L
1e-05	0.	-1.	1.	0.
0.01001	8.2489101492e-45	-0.990049830507	0.990049830507	0.00995016949251
0.02001	-3.03601050774e-43	-0.980198671225	0.980198671225	0.0198013287749
0.03001	-3.67124280885e-44	-0.970445532284	0.970445532284	0.0295544677159
0.04001	4.48872568238e-44	-0.960789438473	0.960789438473	0.0392105615272
0.05001	-6.92299136259e-45	-0.951229425298	0.951229425298	0.0487705747018
0.06001	2.0895841792e-45	-0.941764535923	0.941764535923	0.0582354640774
0.07001	1.84576697024e-45	-0.932393823911	0.932393823911	0.067606176089
0.08001	-1.75842642289e-45	-0.923116352293	0.923116352293	0.0768836477066
0.09001	2.08779999623e-45	-0.913931192811	0.913931192811	0.0860688071892
0.10001	4.43140303747e-45	-0.904837426496	0.904837426496	0.0951625735037
0.11001	-8.1155940322e-46	-0.895834143641	0.895834143641	0.104165856359
0.12001	-3.20497170127e-45	-0.886920444799	0.886920444799	0.113079555201
0.13001	-3.67529934998e-45	-0.878095438788	0.878095438788	0.121904561212
0.14001	-8.72577999571e-46	-0.869358243392	0.869358243392	0.130641756608
0.15001	1.05222158641e-45	-0.860707984496	0.860707984496	0.139292015504
0.16001	1.47618304596e-45	-0.852143797061	0.852143797061	0.147856202939
0.17001	-2.51079037207e-46	-0.843664824544	0.843664824544	0.156335175456
0.18001	-1.86757137134e-45	-0.835270219	0.835270219	0.164729781
0.19001	-1.20958185164e-45	-0.826959141123	0.826959141123	0.173040858877
0.20001	1.58403914019e-46	-0.818730759686	0.818730759686	0.181269240314
0.21001	5.17943435225e-46	-0.810584251938	0.810584251938	0.189415748062
0.22001	7.9413176554e-46	-0.802518803519	0.802518803519	0.197481196481
0.23001	7.86653300106e-46	-0.794533607396	0.794533607396	0.205466392604
0.24001	-4.93667014075e-47	-0.786627865681	0.786627865681	0.213372134319
0.25001	-4.21832505394e-46	-0.778800787107	0.778800787107	0.221199212893
0.26001	-3.26045244767e-46	-0.771051589473	0.771051589473	0.228948410527
0.27001	-3.8567712848e-47	-0.763379497634	0.763379497634	0.236620502366
0.28001	9.91761688914e-47	-0.755783744318	0.755783744318	0.244216255682
